 NUMERO DE PATAMARES
 XX
  3
ANO   DURACAO MENSAL DOS PATAMARES DE CARGA
      JAN     FEV     MAR     ABR     MAI     JUN     JUL     AGO     SET     OUT     NOV     DEZ   
      X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX
        1.0359 1.0425 1.0642 1.0639 1.0416 1.0426 1.0359 1.0447 1.0583 1.0488 1.0481 1.0391
        0.9299 0.9286 0.9271 0.9187 0.9188 0.9222 0.9157 0.9169 0.9139 0.9182 0.9269 0.9343
   2036 1.1040 1.0975 1.1007 1.0952 1.0879 1.0854 1.0789 1.0887 1.0880 1.0863 1.1119 1.0911
        1.0359 1.0425 1.0642 1.0639 1.0416 1.0426 1.0359 1.0447 1.0583 1.0488 1.0481 1.0391
        0.9299 0.9286 0.9271 0.9187 0.9188 0.9222 0.9157 0.9169 0.9139 0.9182 0.9269 0.9343
   4
   2021 1.0509 1.0477 1.0478 1.0577 1.0653 1.0586 1.0446 1.0541 1.0515 1.0501 1.0496 1.0330
        1.0275 1.0317 1.0396 1.0458 1.0153 1.0094 1.0083 1.0065 1.0413 1.0358 1.0299 1.0212
        0.9656 0.9621 0.9516 0.9476 0.9462 0.9508 0.9611 0.9544 0.9497 0.9582 0.9632 0.9702
   2022 1.0499 1.0442 1.0508 1.0600 1.0619 1.0586 1.0476 1.0508 1.0509 1.0500 1.0496 1.0328
        1.0258 1.0288 1.0426 1.0472 1.0118 1.0094 1.0113 1.0035 1.0410 1.0361 1.0299 1.0215
        0.9643 0.9623 0.9518 0.9493 0.9459 0.9508 0.9607 0.9547 0.9502 0.9581 0.9632 0.9722
   2023 1.0467 1.0477 1.0472 1.0640 1.0614 1.0586 1.0480 1.0505 1.0528 1.0485 1.0496 1.0377
        1.0228 1.0317 1.0395 1.0500 1.0116 1.0094 1.0116 1.0034 1.0424 1.0353 1.0299 1.0267
        0.9648 0.9621 0.9520 0.9497 0.9464 0.9508 0.9603 0.9550 0.9518 0.9564 0.9632 0.9714
   2024 1.0463 1.0469 1.0557 1.0517 1.0653 1.0616 1.0435 1.0522 1.0534 1.0439 1.0496 1.0369
        1.0226 1.0310 1.0472 1.0417 1.0148 1.0124 1.0063 1.0054 1.0425 1.0321 1.0299 1.0256
        0.9651 0.9619 0.9539 0.9458 0.9464 0.9514 0.9597 0.9564 0.9480 0.9548 0.9632 0.9702
   2025 1.0463 1.0442 1.0561 1.0586 1.0632 1.0626 1.0432 1.0555 1.0484 1.0424 1.0496 1.0349
        1.0226 1.0288 1.0471 1.0458 1.0141 1.0129 1.0062 1.0086 1.0396 1.0311 1.0299 1.0233
        0.9651 0.9623 0.9538 0.9471 0.9482 0.9505 0.9600 0.9561 0.9490 0.9563 0.9632 0.9702
   2026 1.0463 1.0442 1.0561 1.0586 1.0632 1.0626 1.0432 1.0555 1.0484 1.0424 1.0496 1.0349
