NUS  TIPO  VALORNEW MI ANOI MF ANOF  COMENTARIO
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 236 GTMIN   420.84  1 2025  1 2025  MARLIM AZUL
 236 GTMIN   420.84  2 2025  2 2025  MARLIM AZUL
 236 GTMIN   420.84  3 2025  3 2025  MARLIM AZUL
 236 GTMIN   420.84  4 2025  4 2025  MARLIM AZUL
 236 GTMIN     0.00  5 2025  5 2025  MARLIM AZUL
 236 GTMIN     0.00  6 2025  6 2025  MARLIM AZUL
 236 GTMIN     0.00  7 2025  7 2025  MARLIM AZUL
 236 GTMIN     0.00  8 2025  8 2025  MARLIM AZUL
 236 GTMIN     0.00  9 2025  9 2025  MARLIM AZUL
 236 GTMIN     0.00 10 2025 10 2025  MARLIM AZUL
 236 GTMIN   420.84 11 2025 11 2025  MARLIM AZUL
 236 GTMIN   420.84 12 2025 12 2025  MARLIM AZUL
 236 GTMIN   420.84  1 2026  1 2026  MARLIM AZUL
 236 GTMIN   420.84  2 2026  2 2026  MARLIM AZUL
 236 GTMIN   420.84  3 2026  3 2026  MARLIM AZUL
 236 GTMIN   420.84  4 2026  4 2026  MARLIM AZUL
 236 GTMIN     0.00  5 2026  5 2026  MARLIM AZUL
 236 GTMIN     0.00  6 2026  6 2026  MARLIM AZUL
 236 GTMIN     0.00  7 2026  7 2026  MARLIM AZUL
 236 GTMIN     0.00  8 2026  8 2026  MARLIM AZUL
 236 GTMIN     0.00  9 2026  9 2026  MARLIM AZUL
 236 GTMIN     0.00 10 2026 10 2026  MARLIM AZUL
 236 GTMIN   420.84 11 2026 11 2026  MARLIM AZUL
 236 GTMIN   420.84 12 2026 12 2026  MARLIM AZUL
 236 GTMIN   420.84  1 2027  1 2027  MARLIM AZUL
 236 GTMIN   420.84  2 2027  2 2027  MARLIM AZUL
 236 GTMIN   420.84  3 2027  3 2027  MARLIM AZUL
 236 GTMIN   420.84  4 2027  4 2027  MARLIM AZUL
 236 GTMIN     0.00  5 2027  5 2027  MARLIM AZUL
 236 GTMIN     0.00  6 2027  6 2027  MARLIM AZUL
 236 GTMIN     0.00  7 2027  7 2027  MARLIM AZUL
 236 GTMIN     0.00  8 2027  8 2027  MARLIM AZUL
 236 GTMIN     0.00  9 2027  9 2027  MARLIM AZUL
 236 GTMIN     0.00 10 2027 10 2027  MARLIM AZUL
 236 GTMIN   420.84 11 2027 11 2027  MARLIM AZUL
 236 GTMIN   420.84 12 2027 12 2027  MARLIM AZUL
 236 GTMIN   420.84  1 2028  1 2028  MARLIM AZUL
 236 GTMIN   420.84  2 2028  2 2028  MARLIM AZUL
 236 GTMIN   420.84  3 2028  3 2028  MARLIM AZUL
 236 GTMIN   420.84  4 2028  4 2028  MARLIM AZUL
 236 GTMIN     0.00  5 2028  5 2028  MARLIM AZUL
 236 GTMIN     0.00  6 2028  6 2028  MARLIM AZUL
 236 GTMIN     0.00  7 2028  7 2028  MARLIM AZUL
 236 GTMIN     0.00  8 2028  8 2028  MARLIM AZUL
 236 GTMIN     0.00  9 2028  9 2028  MARLIM AZUL
 236 GTMIN     0.00 10 2028 10 2028  MARLIM AZUL
 236 GTMIN   420.84 11 2028 11 2028  MARLIM AZUL
 236 GTMIN   420.84 12 2028 12 2028  MARLIM AZUL
 236 GTMIN   420.84  1 2029  1 2029  MARLIM AZUL
 236 GTMIN   420.84  2 2029  2 2029  MARLIM AZUL
 236 GTMIN   420.84  3 2029  3 2029  MARLIM AZUL
 236 GTMIN   420.84  4 2029  4 2029  MARLIM AZUL
 236 GTMIN     0.00  5 2029  5 2029  MARLIM AZUL
 236 GTMIN     0.00  6 2029  6 2029  MARLIM AZUL
 236 GTMIN     0.00  7 2029  7 2029  MARLIM AZUL
 236 GTMIN     0.00  8 2029  8 2029  MARLIM AZUL
 236 GTMIN     0.00  9 2029  9 2029  MARLIM AZUL
 236 GTMIN     0.00 10 2029 10 2029  MARLIM AZUL
 236 GTMIN   420.84 11 2029 11 2029  MARLIM AZUL
 236 GTMIN   420.84 12 2029 12 2029  MARLIM AZUL
 236 GTMIN   420.84  1 2030  1 2030  MARLIM AZUL
 236 GTMIN   420.84  2 2030  2 2030  MARLIM AZUL
