AGRUPAMENTOS DE INTERCÂMBIO
 #AG A   B   COEF
 XXX XXX XXX XX.XXXX
   1  11   3  1.0000
   1   1   3  1.0000
   2   3  11  1.0000
   2   3   1  1.0000
   4  11   1  1.0000
   4   3   1  1.0000
   4   4   1  1.0000
   5  11   1  1.0000
   5   4   1  1.0000
   6  11   1  1.0000
   6   4   1  1.0000
   6   1   3  1.0000
   7  11   1  1.0000
   7  11   3  1.0000
   8   1  11  1.0000
   8   1   4  1.0000
  12   4   1  1.0000
  12  11   1  1.0000
 999
LIMITES POR GRUPO
  #AG MI ANOI MF ANOF LIM_P1  LIM_P2  LIM_P3  LIM_P4
 XXX  XX XXXX XX XXXX XXXXXX. XXXXXX. XXXXXX. XXXXXX.
   2   4 2030  4 2030  15500.  15500.  14600.  15300.
   2   5 2030  5 2030  15500.  15500.  14600.  15300.
   2   6 2030  6 2030  15500.  15500.  14600.  15300.
   2   7 2030  7 2030  15500.  15500.  14600.  15300.
   2   8 2030  8 2030  15500.  15500.  14600.  15300.
   2   9 2030  9 2030  15500.  15500.  14600.  15300.
   2  10 2030 10 2030  15500.  15500.  14600.  15300.
   2  11 2030 11 2030  15500.  15500.  14600.  15300.
   2  12 2030 12 2030  15500.  15500.  14600.  15300.
   2   1 2031  1 2031  15500.  15500.  14600.  15300.
   2   2 2031  2 2031  15500.  15500.  14600.  15300.
   2   3 2031  3 2031  15500.  15500.  14600.  15300.
   2   4 2031  4 2031  15500.  15500.  14600.  15300.
   2   5 2031  5 2031  15500.  15500.  14600.  15300.
   2   6 2031  6 2031  15500.  15500.  14600.  15300.
   2   7 2031  7 2031  15500.  15500.  14600.  15300.
   2   8 2031  8 2031  15500.  15500.  14600.  15300.
   2   9 2031  9 2031  15500.  15500.  14600.  15300.
   2  10 2031 10 2031  15500.  15500.  14600.  15300.
   2  11 2031 11 2031  15500.  15500.  14600.  15300.
   2  12 2031 12 2031  15500.  15500.  14600.  15300.
   2   1 2032  1 2032  15500.  15500.  14600.  15300.
   2   2 2032  2 2032  15500.  15500.  14600.  15300.
   2   3 2032  3 2032  15500.  15500.  14600.  15300.
   2   4 2032  4 2032  15500.  15500.  14600.  15300.
   2   5 2032  5 2032  15500.  15500.  14600.  15300.
   2   6 2032  6 2032  15500.  15500.  14600.  15300.
   2   7 2032  7 2032  15500.  15500.  14600.  15300.
   2   8 2032  8 2032  15500.  15500.  14600.  15300.
   2   9 2032  9 2032  15500.  15500.  14600.  15300.
   2  10 2032 10 2032  15500.  15500.  14600.  15300.
